,#1 String,#2 String
1650,"Cristina Iovu ( born November 8 , 1992 ) a Moldovan -- born Azerbaijani weightlifter competing in the -- 53 kg division .","Cristina Iovu ( born November 8 , 1992 in Chisinau ) is a Moldovan weightlifter in the -- 53 kg division ."
1651,"For the year and a half after September 1970 it only sold two 747s in the world , and did not sell any to an American carrier for almost three years .","For over a year after September 1970 , it only sold two 747s ."
1652,"There was some size variation between the different species of Paranthropus , but most stood roughly 1.3-1 .4 m ( 4 ft 3 in to 4 ft 7 in ) tall and were quite well muscled .","There was some size variation between the different species of Paranthropus , but most stood roughly 1.3-1 .4 m ( 4.26 to 4.59 feet ) tall and were quite well muscled ."
1653,Scholar Andreas Kaplan describes Europe as `` embracing maximum cultural diversity at minimal geographical distances '' .,Andreas M. Kaplan describes Europe as `` embracing maximum cultural diversity at minimal geographical distances '' .
1654,"While a professor of the history of science at Pennsylvania State University in 1999 , he became the first historian to testify against the tobacco industry .","In 1999 , he was the first historian to testify against the tobacco industry . He was a professor of the history of science at Pennsylvania State University ."
1655,"The province is full of reminders of the Cuban Revolution , and of the Cuban Wars of Independence ; plaques in the mountain commemorate the 1959 struggle against Fulgencio Batista .","The province is full of reminders of the Cuban Revolution , and the Cuban Wars of Independence . There are many plaques in the mountains that commemorate the struggle against Fulgencio Batista ."
1656,"The former UCI Road World Cup one-day races -- which include all five Classic cycle races or `` Monuments '' -- were also part of the ProTour : Milan -- San Remo ( Italy ) , Tour of Flanders ( Belgium ) , Paris -- Roubaix ( France ) , Liège -- Bastogne -- Liège ( Belgium ) and Amstel Gold Race ( Netherlands ) in the spring , and Clásica de San Sebastián ( Spain ) , HEW Cyclassics ( Germany ) , Züri-Metzgete ( Switzerland ) , Paris -- Tours ( France ) and Giro di Lombardia ( Italy ) in the autumn season .","Some one day races are also part of the World Tour : Milan -- San Remo ( Italy ) , Tour of Flanders ( Belgium ) , Paris-Roubaix ( France ) , Liège -- Bastogne -- Liège ( Belgium ) and Amstel Gold Race ( Netherlands ) in the spring , and Clásica de San Sebastián ( Spain ) , HEW Cyclassics ( Germany ) , Züri-Metzgete ( Switzerland ) , Paris -- Tours ( France ) and Giro di Lombardia ( Italy ) in the autumn season ."
1657,"Peabody River State Fish and Wildlife Area is an Illinois state park on in Randolph County , Illinois , United States .","Peabody River State Fish and Wildlife Area is an Illinois state park on 2200 acre in Randolph County , Illinois , United States ."
1658,The bee-eaters are a group of near-passerine birds in the family Meropidae .,The bee-eaters are a group of land birds in the family Meropidae .
1659,"It is Russia 's largest island , and is administered as part of Sakhalin Oblast .","It is part of Russia territory and is its largest island , administered as part of Sakhalin Oblast ."
1660,Year 264 ( CCLXIV ) was a leap year starting on Friday ( link will display the full calendar ) of the Julian calendar .,Year 264 ( CCLXIV ) was a leap year starting on Friday of the Julian calendar .
1661,"At first discounted as a potential mayor , Ford was elected mayor in the 2010 mayoral election on a platform of reducing the `` gravy train '' of government expenses and taxes , and he took office in December 2010 .",Ford was elected mayor in the 2010 mayoral election and he took office in December 2010 .
1662,"As of December 2013 , the company provided access to approximately 12.7 billion records and had 2.14 million paying subscribers .","As of December 2013 , the company provided approximately 12.7 billion records and had 2.14 million paying subscribers ."
1663,"The province is divided into 20 districts ( `` daïras '' ) , which are further divided into 53 `` communes '' or municipalities .",The province has 20 districts . There are also 53 `` communes '' or municipalities .
1664,"In cell biology , the centrosome is an organelle that serves as the main microtubule organizing center ( MTOC ) of the animal cell as well as a regulator of cell-cycle progression .","In cell biology , the centrosome is an organelle that is the main place where cell microtubules get organised ."
1665,"Other than injectable formulations , which are only available and administered under medical supervision , multivitamins are recognized by the Codex Alimentarius Commission ( the United Nations ' authority on food standards ) as a category of food .","Besides injections , multivitamins are recognized by the Codex Alimentarius Commission ( the United Nations ' authority on food standards ) as a category of food ."
1666,"`` Yorktown `` s group consisted of six fighters , 24 dive bombers , and nine torpedo planes and was on its way by 09:15 .","`` Yorktown '' 's group consisted of six fighters , 24 dive bombers , and nine torpedo planes ."
1667,"John Devon Roland `` Jon '' Pertwee ( 7 July 1919 -- 20 May 1996 ) was an English actor , entertainer and cabaret performer .","John Devon Roland Pertwee ( 7 July 1919 -- 20 May 1996 ) , better known as Jon Pertwee , was an English actor ."
1668,"With this single , Selena became the first performer to achieve four number-one singles on the Billboard Hot Latin Tracks chart in a single year .","With this single , Selena became the first Latin artist to have four number-one singles on the Billboard Hot Latin Tracks chart in a single year ."
1669,"Regardless , in modern times the clearance has accelerated , and the trees are now considered to be highly endangered , with some believing that as little as 10 % of the original woodland remains .","Regardless , in modern times the clearance has had a faster pace , and the trees are now thought to be highly endangered , with some thinking that as little as 10 % of the original woodland is still here ."
1670,"St. Johns County , Florida St. Johns County is a county of the U.S. state of Florida .","St. Johns County , Florida St. Johns County is a county in the U.S. state of Florida ."
1671,"Serving 16 years in prison before being released , he has continuously claimed his innocence .","Serving 16 years in prison before being released , he has claimed his innocence many times ."
1672,Lochristi ( ) is a municipality located in the Belgian province of East Flanders .,Lochristi is a municipality in the Belgian province of East Flanders .
1673,"Sean Maher recalls reading for the part and liking the character of Simon Tam , but that it was Whedon 's personality and vision that `` sealed the deal '' for him .",Sean Maher remembers reading for the part and liking the character of Simon Tam . He said it was Whedon 's personality and vision that `` sealed the deal '' for him .
1674,"He began his career in the late 1950s and remained active as a performer , composer and recording artist until near the end of his life .","He began his career in the late 1950s . He stayed active as a performer , composer and recording artist until his death ."
1675,"A quip is an observation or saying that has some wit but perhaps descends into sarcasm , or otherwise is short of a point , and a witticism also suggests the diminutive .","A quip is an observation or saying that has some wit but perhaps descends into sarcasm , or otherwise is short of point ; a witticism also suggests the diminutive ."
1676,"It is bordered by the states of Baja California , Baja California Sur , Sonora , and Sinaloa with a coastline of approximately 4,000 km ( 2,500 mi ) .","It is surrounded by the states of Baja California , Baja California Sur , Sonora , and Sinaloa ."
