#1 String,#2 String
"Yes, Dad?",Yes Dad?
"She and her husband, Prince Philip, were very much involved in the interior decoration of the ship, choosing the furnishings for what would be their floating home.","Along with her husband, Prince Philip, she was heavily involved in designing the inside of their new ship home and chose all the furnishings."
"More than one band of bandits rode past, eyes hungry for the sacks hanging over Gray Cloud, but they did not stop for him.",Gray Cloud was carrying sacks were which hung over him.
My guess is they ain't sure.,I guess they aren't sure.
A man wearing a red shirt is punching the ground while looking angry.,A man is angry.
A young girl lighting candles among the flowers at a cemetery.,a girl shows her respect at the cemetary
"The metrics described here will generally be used after contract award, in order to assess how well the agency is managing the system development process.",The metrics are for after the contract award.
A guy in the air doing wakeboarding.,A man is outdoors.
"A woman in a pink scarf, purple sweater, green shirt, holding two boys, both in striped shirts, walking in a city park.",There is a woman.
"In the last debate, Hatch gave a patronizing lecture about how the unseasoned Bush would make a fine vice-presidential choice for him.","Hatch gave a lecture, in the last debate, on how Bush, unseasoned, would make a fine vice-presidential choice for him."
A woman sitting on a high cliff,A woman sitting outdoors.
A woman with a handbag is sitting on a wooden bench.,The woman is sitting.
"The Clinger-Cohen Act of 1996 amended the PRA, renaming and elevating former information resources manager positions to executive-level CIOs who report directly to the agency head and have information management as a primary responsibility.",The information resources managers became executive-level CIOs.
Tan dog on lead standing on surface covered with white snow.,A dog is standing
Always study any item carefully before purchase.,Carefully research an item before buying it.
"After the intense emotion and summertime heat spells (air conditioning is not always available), cool off at the seaside resorts of the Riviera or any of the gem-like islands.",The air conditioning is not always available.
Many people collect in an alley to buy goods.,Many people collect in an alley.
A woman with a cart of vegetables.,A man grocery shopping.
A traveling boy looks sad.,The boy is sad
"After listening 59 intently for a minute or two, he put his head round the curtain.",He put his head round the curtain after listening intently.
Many different people are shopping at an indoor market.,People are shopping at a market.
hm uh um-hum yeah and a lot of that is is how it was drilled into you when you were a kid which brings us back to the idea you know someone's got to be there taking care of the kids to drill in these you know drill in the right ideas,The information was drilled into you when you were young.
